bin_centers,bin_edges,hist
14.425000002,0.0,13039
43.275000006,28.850000004,22579
72.12500001000001,57.700000008,22262
100.975000014,86.550000012,22082
129.82500001800003,115.400000016,22381
158.675000022,144.25000002000002,21686
187.525000026,173.100000024,21232
216.37500003000002,201.950000028,21976
245.225000034,230.800000032,22032
274.075000038,259.650000036,21642
302.925000042,288.50000004000003,21649
331.775000046,317.350000044,21782
360.62500005000004,346.200000048,21457
389.475000054,375.05000005200003,20880
418.325000058,403.900000056,21800
447.17500006200004,432.75000006000005,21123
476.025000066,461.600000064,21476
504.87500007,490.450000068,21227
533.725000074,519.300000072,21313
562.5750000780001,548.1500000760001,21619
591.425000082,577.0000000800001,14275
620.2750000860001,605.850000084,8901
649.12500009,634.700000088,20867
677.975000094,663.550000092,21459
706.825000098,692.400000096,20657
735.675000102,721.2500001000001,20861
764.5250001060001,750.1000001040001,20205
793.37500011,778.950000108,20875
822.2250001140001,807.800000112,20520
851.075000118,836.650000116,20337
879.925000122,865.5000001200001,20494
908.7750001260001,894.3500001240001,20498
937.62500013,923.200000128,20401
966.4750001340001,952.050000132,19794
995.3250001380001,980.900000136,20214
1024.175000142,1009.7500001400001,20083
1053.025000146,1038.600000144,19856
1081.8750001500002,1067.450000148,20248
1110.725000154,1096.3000001520002,20442
1139.575000158,1125.150000156,20289
1168.425000162,1154.0000001600001,19020
1197.2750001660002,1182.850000164,19997
1226.12500017,1211.700000168,19684
1254.9750001740001,1240.5500001720002,19842
1283.8250001780002,1269.400000176,19815
1312.675000182,1298.2500001800001,19861
1341.525000186,1327.100000184,18771
1370.37500019,1355.950000188,19456
1399.2250001940001,1384.800000192,19443
1428.075000198,1413.650000196,19216
1456.925000202,1442.5000002000002,19136
1485.7750002060002,1471.350000204,19339
1514.62500021,1500.2000002080001,14661
1543.475000214,1529.050000212,6770
1572.3250002180002,1557.900000216,19108
1601.175000222,1586.7500002200002,18994
1630.025000226,1615.600000224,19284
1658.87500023,1644.4500002280001,18745
1687.7250002340002,1673.300000232,18886
1716.575000238,1702.150000236,18670
1745.4250002420001,1731.0000002400002,18157
1774.2750002460002,1759.850000244,18583
1803.12500025,1788.7000002480002,18453
1831.975000254,1817.550000252,18729
1860.8250002580003,1846.400000256,18129
1889.6750002620001,1875.2500002600002,18737
1918.525000266,1904.100000264,17507
1947.37500027,1932.9500002680002,18268
1976.2250002740002,1961.800000272,18454
2005.075000278,1990.6500002760001,18309
2033.9250002820002,2019.5000002800002,18370
2062.7750002860002,2048.350000284,17879
2091.62500029,2077.200000288,17830
2120.475000294,2106.0500002920003,17282
2149.3250002980003,2134.900000296,18046
2178.175000302,2163.7500003,17541
2207.025000306,2192.6000003040003,17799
2235.8750003100004,2221.450000308,17730
2264.7250003139998,2250.300000312,17829
2293.575000318,2279.150000316,17446
2322.4250003220004,2308.0000003200003,16956
2351.275000326,2336.850000324,17227
2380.12500033,2365.700000328,17475
2408.9750003340005,2394.5500003320003,17038
2437.825000338,2423.400000336,14229
2466.675000342,2452.25000034,5374
2495.5250003460005,2481.1000003440004,16651
2524.37500035,2509.9500003480002,17403
2553.2250003540003,2538.800000352,17156
2582.075000358,2567.650000356,16954
2610.925000362,2596.5000003600003,17067
2639.7750003660003,2625.350000364,17026
2668.62500037,2654.200000368,16900
2697.475000374,2683.0500003720003,16189
2726.3250003780004,2711.900000376,17013
2755.175000382,2740.75000038,16815
2784.025000386,2769.600000384,16552
2812.8750003900004,2798.4500003880003,16499
2841.725000394,2827.300000392,16317
2870.575000398,2856.150000396,16171
2899.4250004020005,2885.0000004000003,16535
2928.275000406,2913.850000404,16348
2957.12500041,2942.700000408,16292
2985.9750004140005,2971.5500004120004,16221
3014.825000418,3000.4000004160002,16290
3043.6750004220003,3029.25000042,16164
3072.525000426,3058.100000424,15450
3101.37500043,3086.9500004280003,16181
3130.2250004340003,3115.800000432,16241
3159.075000438,3144.650000436,15774
3187.925000442,3173.5000004400003,15718
3216.7750004460004,3202.350000444,15933
3245.6250004500002,3231.200000448,15786
3274.475000454,3260.0500004520004,15055
3303.3250004580004,3288.9000004560003,15718
3332.175000462,3317.75000046,15579
3361.025000466,3346.600000464,13923
3389.8750004700005,3375.4500004680003,3946
3418.725000474,3404.300000472,15534
3447.575000478,3433.150000476,15016
3476.4250004820005,3462.0000004800004,15370
3505.275000486,3490.8500004840002,15518
3534.1250004900003,3519.700000488,15266
3562.9750004940006,3548.5500004920004,15335
3591.825000498,3577.4000004960003,15290
3620.6750005020003,3606.2500005,15461
3649.525000506,3635.100000504,14561
3678.37500051,3663.9500005080004,15050
3707.2250005140004,3692.800000512,14915
3736.0750005180003,3721.650000516,15149
3764.925000522,3750.5000005200004,15042
3793.7750005260004,3779.3500005240003,14928
3822.62500053,3808.200000528,14709
3851.475000534,3837.050000532,14506
3880.3250005380005,3865.9000005360003,15079
3909.175000542,3894.75000054,14795
3938.0250005460002,3923.600000544,14822
3966.8750005500005,3952.4500005480004,14807
3995.725000554,3981.3000005520003,14436
4024.5750005580003,4010.150000556,14638
4053.4250005620006,4039.0000005600004,13878
4082.275000566,4067.8500005640003,14308
4111.12500057,4096.700000568,14225
