bin_centers,bin_edges,hist
10069.47019668874,10054.999998,3579
10098.410594066225,10083.940395377484,3435
10127.350991443709,10112.880792754966,3609
10156.291388821192,10141.82119013245,3571
10185.231786198674,10170.761587509933,3282
10214.172183576158,10199.701984887417,3514
10243.112580953642,10228.6423822649,3492
10272.052978331125,10257.582779642384,3588
10300.993375708607,10286.523177019866,3357
10329.933773086093,10315.46357439735,3490
10358.874170463576,10344.403971774835,3400
10387.814567841058,10373.344369152317,3533
10416.754965218543,10402.284766529801,3404
10445.695362596027,10431.225163907284,3394
10474.63575997351,10460.165561284768,3370
10503.576157350992,10489.10595866225,3527
10532.516554728476,10518.046356039735,3212
10561.45695210596,10546.986753417217,3388
10590.397349483443,10575.927150794701,3380
10619.337746860927,10604.867548172186,3202
10648.278144238411,10633.807945549668,3329
10677.218541615894,10662.748342927152,3406
10706.158938993376,10691.688740304635,3386
10735.09933637086,10720.62913768212,3235
10764.039733748345,10749.569535059602,2504
10792.980131125827,10778.509932437086,1108
10821.92052850331,10807.450329814568,3249
10850.860925880796,10836.390727192053,3379
10879.801323258278,10865.331124569537,3218
10908.74172063576,10894.27152194702,3278
10937.682118013245,10923.211919324503,3233
10966.622515390729,10952.152316701986,3090
10995.562912768211,10981.09271407947,3100
11024.503310145694,11010.033111456953,3120
11053.44370752318,11038.973508834437,3252
11082.384104900662,11067.913906211921,3107
11111.324502278145,11096.854303589404,3062
11140.264899655629,11125.794700966888,3122
11169.205297033113,11154.73509834437,3196
11198.145694410596,11183.675495721855,3074
11227.086091788078,11212.615893099337,3252
11256.026489165562,11241.556290476821,3250
11284.966886543047,11270.496687854304,3097
11313.90728392053,11299.437085231788,3080
11342.847681298012,11328.37748260927,3077
11371.788078675498,11357.317879986755,3066
11400.72847605298,11386.258277364239,3183
11429.668873430463,11415.198674741721,3093
11458.609270807947,11444.139072119206,3203
11487.549668185431,11473.079469496688,2913
11516.490065562914,11502.019866874172,3059
11545.430462940396,11530.960264251655,2896
11574.370860317882,11559.900661629139,3073
11603.311257695364,11588.841059006623,3046
11632.251655072847,11617.781456384106,2930
11661.192052450331,11646.72185376159,3111
11690.132449827815,11675.662251139072,2160
11719.072847205298,11704.602648516557,1080
11748.01324458278,11733.54304589404,2915
11776.953641960265,11762.483443271523,3069
11805.894039337749,11791.423840649006,2907
11834.834436715231,11820.36423802649,2897
11863.774834092714,11849.304635403972,2854
11892.7152314702,11878.245032781457,2875
11921.655628847682,11907.185430158941,2835
11950.596026225165,11936.125827536423,2875
11979.536423602649,11965.066224913908,2851
12008.476820980133,11994.00662229139,2765
12037.417218357616,12022.947019668874,2905
12066.357615735098,12051.887417046357,2918
12095.298013112584,12080.827814423841,2846
12124.238410490067,12109.768211801325,2837
12153.178807867549,12138.708609178808,2949
12182.119205245033,12167.649006556292,2764
12211.059602622518,12196.589403933775,2850
12240.0,12225.529801311259,2696
12268.940397377482,12254.470198688741,2864
12297.880794754969,12283.410596066225,2915
12326.821192132451,12312.35099344371,2683
12355.761589509933,12341.291390821192,2695
12384.701986887416,12370.231788198675,2869
12413.642384264902,12399.172185576159,2737
12442.582781642384,12428.112582953643,2714
12471.523179019867,12457.052980331126,2731
12500.463576397351,12485.99337770861,2714
12529.403973774835,12514.933775086092,2735
12558.344371152318,12543.874172463577,2722
12587.2847685298,12572.814569841059,2723
12616.225165907286,12601.754967218543,1944
12645.165563284769,12630.695364596028,1218
12674.105960662251,12659.63576197351,2702
12703.046358039735,12688.576159350994,2595
12731.98675541722,12717.516556728477,2570
12760.927152794702,12746.45695410596,2710
12789.867550172185,12775.397351483443,2680
12818.80794754967,12804.337748860928,2558
12847.748344927153,12833.278146238412,2751
12876.688742304636,12862.218543615894,2582
12905.629139682118,12891.158940993377,2607
12934.569537059604,12920.099338370861,2736
12963.509934437086,12949.039735748345,2581
12992.450331814569,12977.980133125828,2677
13021.390729192053,13006.920530503312,2562
13050.331126569537,13035.860927880794,2599
13079.27152394702,13064.801325258279,2543
13108.211921324502,13093.741722635761,2559
13137.152318701988,13122.682120013245,2549
13166.09271607947,13151.62251739073,2539
13195.033113456953,13180.562914768212,2558
13223.973510834438,13209.503312145696,2409
13252.913908211922,13238.443709523179,2551
13281.854305589404,13267.384106900663,2392
13310.794702966887,13296.324504278145,2380
13339.735100344373,13325.26490165563,2536
13368.675497721855,13354.205299033114,2506
13397.615895099338,13383.145696410596,2405
13426.55629247682,13412.086093788079,2402
13455.496689854306,13441.026491165563,2441
13484.437087231789,13469.966888543047,2405
13513.377484609271,13498.90728592053,2524
13542.317881986755,13527.847683298014,1567
13571.25827936424,13556.788080675497,1060
13600.198676741722,13585.72847805298,2312
13629.139074119204,13614.668875430463,2378
13658.07947149669,13643.609272807947,2358
13687.019868874173,13672.549670185432,2329
13715.960266251655,13701.490067562914,2392
13744.90066362914,13730.430464940398,2266
13773.841061006624,13759.37086231788,2400
