bin_centers,bin_edges,hist
14.389423076923077,0.0,13039
43.168269230769226,28.778846153846153,22579
71.94711538461539,57.55769230769231,22262
100.72596153846153,86.33653846153845,22082
129.50480769230768,115.11538461538461,21585
158.28365384615384,143.89423076923077,21820
187.0625,172.6730769230769,21894
215.84134615384613,201.45192307692307,21976
244.6201923076923,230.23076923076923,22032
273.39903846153845,259.00961538461536,20836
302.17788461538464,287.78846153846155,21836
330.9567307692307,316.5673076923077,21746
359.7355769230769,345.3461538461538,21500
388.5144230769231,374.125,20847
417.2932692307692,402.90384615384613,21613
446.07211538461536,431.6826923076923,21293
474.85096153846155,460.46153846153845,21309
503.6298076923076,489.2403846153846,21246
532.4086538461538,518.0192307692307,20653
561.1875,546.7980769230769,21439
589.9663461538462,575.5769230769231,15925
618.7451923076923,604.3557692307692,8260
647.5240384615385,633.1346153846154,20213
676.3028846153845,661.9134615384615,21313
705.0817307692307,690.6923076923076,20630
733.8605769230769,719.4711538461538,21017
762.6394230769231,748.25,20872
791.4182692307693,777.0288461538462,20060
820.1971153846154,805.8076923076923,20361
848.9759615384615,834.5865384615385,20667
877.7548076923076,863.3653846153846,20487
906.5336538461538,892.1442307692307,19526
935.3125,920.9230769230769,20702
964.0913461538462,949.7019230769231,20469
992.8701923076923,978.4807692307692,20031
1021.6490384615383,1007.2596153846154,20225
1050.4278846153845,1036.0384615384614,19220
1079.2067307692307,1064.8173076923076,20099
1107.985576923077,1093.5961538461538,20451
1136.764423076923,1122.375,20295
1165.5432692307693,1151.1538461538462,19134
1194.3221153846152,1179.9326923076924,20069
1223.1009615384614,1208.7115384615383,19669
1251.8798076923076,1237.4903846153845,19808
1280.6586538461538,1266.2692307692307,19812
1309.4375,1295.048076923077,19204
1338.2163461538462,1323.826923076923,19473
1366.9951923076924,1352.6057692307693,19428
1395.7740384615383,1381.3846153846152,19312
1424.5528846153845,1410.1634615384614,18557
1453.3317307692307,1438.9423076923076,19286
1482.110576923077,1467.7211538461538,19178
1510.889423076923,1496.5,17414
1539.6682692307693,1525.2788461538462,4865
1568.4471153846152,1554.0576923076924,18420
1597.2259615384614,1582.8365384615383,19153
1626.0048076923076,1611.6153846153845,18895
1654.7836538461538,1640.3942307692307,18983
1683.5625,1669.173076923077,18376
1712.3413461538462,1697.951923076923,18542
1741.1201923076924,1726.7307692307693,18794
1769.8990384615383,1755.5096153846152,18751
1798.6778846153845,1784.2884615384614,18464
1827.4567307692307,1813.0673076923076,17891
1856.235576923077,1841.8461538461538,18141
1885.014423076923,1870.625,18666
1913.7932692307693,1899.4038461538462,18282
1942.5721153846152,1928.1826923076924,17726
1971.3509615384614,1956.9615384615383,18477
2000.1298076923076,1985.7403846153845,18278
2028.9086538461538,2014.5192307692307,18222
2057.6875,2043.298076923077,18036
2086.4663461538457,2072.076923076923,17130
2115.2451923076924,2100.855769230769,18077
2144.024038461538,2129.6346153846152,17792
2172.8028846153848,2158.4134615384614,17696
2201.5817307692305,2187.1923076923076,16948
2230.360576923077,2215.971153846154,17918
2259.139423076923,2244.75,17779
2287.9182692307695,2273.528846153846,17694
2316.6971153846152,2302.3076923076924,17543
2345.475961538462,2331.0865384615386,16749
2374.2548076923076,2359.8653846153848,17152
2403.033653846154,2388.644230769231,17332
2431.8125,2417.4230769230767,17254
2460.5913461538457,2446.201923076923,1756
2489.3701923076924,2474.980769230769,17266
2518.149038461538,2503.7596153846152,17412
2546.9278846153848,2532.5384615384614,17018
2575.7067307692305,2561.3173076923076,16885
2604.485576923077,2590.096153846154,16438
2633.264423076923,2618.875,17052
2662.0432692307695,2647.653846153846,17108
2690.8221153846152,2676.4326923076924,16763
2719.600961538462,2705.2115384615386,16253
2748.3798076923076,2733.9903846153848,16797
2777.1586538461534,2762.7692307692305,16699
2805.9375,2791.5480769230767,16535
2834.7163461538457,2820.326923076923,16513
2863.4951923076924,2849.105769230769,15942
2892.274038461538,2877.8846153846152,16571
2921.0528846153848,2906.6634615384614,16320
2949.8317307692305,2935.4423076923076,16573
