Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.750,0.882,0.906,0.947,0.966,0.973,50.0,6.7,0.0,0.0,1.6,0.0
10,0.441,0.640,0.691,0.819,0.907,0.912,83.3,66.7,68.9,28.9,9.5,6.3
11,0.431,0.619,0.680,0.812,0.902,0.909,83.3,73.3,71.1,35.6,11.1,7.9
12,0.422,0.604,0.669,0.805,0.899,0.905,86.7,73.3,71.1,40.0,11.1,9.5
13,0.404,0.594,0.658,0.799,0.895,0.903,90.0,76.7,73.3,42.2,12.7,11.1
14,0.396,0.585,0.648,0.793,0.889,0.899,90.0,76.7,75.6,44.4,12.7,12.7
15,0.377,0.576,0.638,0.782,0.885,0.897,90.0,76.7,75.6,46.7,14.3,12.7
16,0.370,0.571,0.627,0.776,0.882,0.895,90.0,76.7,75.6,46.7,15.9,12.7
17,0.364,0.563,0.618,0.770,0.879,0.893,90.0,76.7,75.6,46.7,20.6,12.7
18,0.357,0.555,0.605,0.764,0.876,0.891,90.0,76.7,75.6,48.9,20.6,12.7
19,0.352,0.547,0.596,0.758,0.868,0.889,90.0,76.7,75.6,48.9,20.6,12.7
2,0.564,0.768,0.816,0.886,0.941,0.943,83.3,46.7,28.9,6.7,4.8,0.0
20,0.346,0.540,0.582,0.753,0.865,0.887,90.0,76.7,80.0,48.9,20.6,12.7
21,0.340,0.531,0.573,0.747,0.862,0.885,90.0,76.7,80.0,51.1,20.6,12.7
22,0.342,0.525,0.565,0.742,0.860,0.883,86.7,76.7,80.0,53.3,22.2,12.7
23,0.338,0.510,0.558,0.734,0.857,0.882,86.7,76.7,80.0,55.6,25.4,15.9
24,0.333,0.503,0.550,0.728,0.854,0.879,86.7,76.7,80.0,55.6,27.0,15.9
25,0.329,0.498,0.544,0.718,0.851,0.878,86.7,76.7,80.0,57.8,28.6,17.5
26,0.325,0.492,0.538,0.713,0.847,0.877,86.7,76.7,82.2,60.0,28.6,19.0
27,0.321,0.487,0.531,0.708,0.844,0.875,86.7,80.0,82.2,60.0,30.2,19.0
28,0.317,0.481,0.524,0.703,0.842,0.872,86.7,80.0,82.2,60.0,30.2,20.6
29,0.314,0.468,0.518,0.698,0.841,0.870,86.7,83.3,82.2,60.0,30.2,20.6
3,0.534,0.748,0.800,0.874,0.938,0.940,83.3,53.3,37.8,11.1,3.2,1.6
30,0.311,0.463,0.512,0.694,0.839,0.869,86.7,83.3,86.7,60.0,31.7,22.2
31,0.307,0.458,0.506,0.682,0.836,0.867,86.7,83.3,86.7,62.2,31.7,22.2
32,0.304,0.454,0.500,0.678,0.834,0.867,86.7,83.3,86.7,62.2,31.7,25.4
33,0.302,0.450,0.495,0.673,0.829,0.866,86.7,83.3,86.7,64.4,33.3,25.4
34,0.299,0.446,0.489,0.669,0.826,0.864,86.7,83.3,86.7,66.7,33.3,25.4
35,0.296,0.442,0.484,0.665,0.823,0.863,86.7,83.3,86.7,68.9,33.3,25.4
36,0.294,0.438,0.479,0.658,0.821,0.862,90.0,83.3,86.7,71.1,33.3,25.4
37,0.291,0.434,0.474,0.654,0.819,0.861,90.0,83.3,86.7,71.1,34.9,25.4
38,0.289,0.431,0.469,0.650,0.817,0.858,90.0,83.3,86.7,71.1,34.9,25.4
39,0.287,0.427,0.464,0.646,0.815,0.857,90.0,83.3,88.9,71.1,34.9,25.4
4,0.517,0.732,0.781,0.866,0.933,0.936,83.3,53.3,40.0,13.3,6.3,1.6
40,0.285,0.424,0.459,0.643,0.813,0.856,90.0,83.3,88.9,71.1,34.9,25.4
41,0.282,0.420,0.455,0.639,0.811,0.855,90.0,83.3,88.9,71.1,36.5,25.4
42,0.280,0.417,0.450,0.636,0.807,0.854,90.0,83.3,88.9,71.1,38.1,25.4
5,0.501,0.717,0.768,0.857,0.929,0.931,83.3,53.3,46.7,15.6,7.9,1.6
6,0.487,0.694,0.753,0.849,0.926,0.928,83.3,56.7,51.1,17.8,7.9,1.6
7,0.474,0.680,0.737,0.841,0.919,0.924,83.3,60.0,60.0,17.8,9.5,1.6
8,0.462,0.669,0.722,0.833,0.915,0.919,83.3,63.3,62.2,22.2,9.5,3.2
9,0.451,0.656,0.706,0.826,0.910,0.915,83.3,66.7,66.7,24.4,9.5,4.8
