Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.895,0.963,0.966,0.983,0.980,0.992,3.3,0.0,0.0,0.0,1.6,0.0
10,0.394,0.523,0.605,0.762,0.866,0.877,83.3,76.7,75.6,55.6,23.8,22.2
11,0.380,0.502,0.581,0.747,0.858,0.873,83.3,76.7,80.0,57.8,23.8,22.2
12,0.369,0.488,0.562,0.730,0.851,0.868,86.7,80.0,82.2,57.8,25.4,22.2
13,0.359,0.472,0.543,0.717,0.844,0.865,86.7,80.0,86.7,57.8,25.4,22.2
14,0.350,0.460,0.524,0.706,0.838,0.860,86.7,76.7,86.7,57.8,27.0,23.8
15,0.342,0.445,0.507,0.696,0.831,0.856,86.7,76.7,88.9,57.8,30.2,25.4
16,0.334,0.434,0.488,0.685,0.825,0.853,86.7,76.7,88.9,60.0,31.7,27.0
17,0.328,0.416,0.474,0.675,0.814,0.849,86.7,83.3,91.1,60.0,33.3,27.0
18,0.322,0.397,0.462,0.666,0.809,0.847,86.7,86.7,91.1,60.0,33.3,27.0
19,0.316,0.388,0.450,0.657,0.802,0.844,86.7,86.7,91.1,60.0,34.9,27.0
2,0.758,0.872,0.906,0.953,0.964,0.967,50.0,6.7,0.0,0.0,1.6,0.0
20,0.311,0.383,0.438,0.649,0.789,0.842,86.7,86.7,95.6,62.2,36.5,28.6
21,0.276,0.372,0.428,0.641,0.772,0.839,90.0,86.7,95.6,62.2,38.1,33.3
22,0.271,0.366,0.418,0.634,0.768,0.836,90.0,86.7,95.6,64.4,38.1,33.3
23,0.268,0.360,0.411,0.624,0.761,0.835,90.0,86.7,95.6,68.9,39.7,33.3
24,0.264,0.354,0.402,0.615,0.756,0.834,90.0,86.7,95.6,68.9,39.7,33.3
25,0.266,0.349,0.394,0.610,0.752,0.831,86.7,86.7,95.6,68.9,42.9,33.3
3,0.655,0.801,0.857,0.916,0.951,0.946,73.3,40.0,17.8,0.0,3.2,0.0
4,0.580,0.739,0.812,0.887,0.939,0.931,76.7,60.0,24.4,11.1,6.3,1.6
5,0.526,0.690,0.762,0.863,0.925,0.918,83.3,63.3,48.9,13.3,7.9,4.8
6,0.491,0.650,0.727,0.840,0.911,0.907,83.3,66.7,62.2,20.0,11.1,4.8
7,0.463,0.616,0.693,0.821,0.899,0.898,83.3,70.0,64.4,31.1,12.7,7.9
8,0.440,0.574,0.657,0.798,0.889,0.891,83.3,73.3,75.6,37.8,19.0,12.7
9,0.410,0.546,0.630,0.781,0.874,0.884,83.3,76.7,75.6,40.0,20.6,14.3
