Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.700,0.851,0.885,0.932,0.955,0.968,56.7,10.0,0.0,0.0,3.2,0.0
10,0.377,0.576,0.642,0.778,0.887,0.897,90.0,76.7,75.6,44.4,12.7,11.1
11,0.368,0.567,0.632,0.770,0.878,0.895,90.0,76.7,75.6,46.7,17.5,11.1
12,0.359,0.556,0.616,0.759,0.865,0.891,90.0,76.7,77.8,51.1,19.0,11.1
13,0.351,0.546,0.604,0.751,0.864,0.888,90.0,76.7,77.8,51.1,19.0,11.1
14,0.340,0.536,0.589,0.744,0.857,0.885,90.0,76.7,77.8,53.3,20.6,14.3
15,0.334,0.527,0.579,0.737,0.854,0.882,90.0,76.7,80.0,53.3,20.6,14.3
16,0.327,0.518,0.568,0.730,0.848,0.880,90.0,76.7,80.0,57.8,22.2,15.9
17,0.322,0.510,0.558,0.724,0.846,0.878,90.0,76.7,80.0,60.0,23.8,19.0
18,0.316,0.493,0.549,0.718,0.842,0.877,90.0,80.0,80.0,60.0,27.0,19.0
19,0.311,0.486,0.540,0.712,0.837,0.874,90.0,80.0,80.0,60.0,30.2,19.0
2,0.507,0.724,0.779,0.858,0.926,0.933,83.3,56.7,40.0,15.6,7.9,1.6
20,0.306,0.479,0.531,0.705,0.834,0.872,90.0,80.0,80.0,60.0,30.2,20.6
21,0.301,0.472,0.523,0.692,0.831,0.870,90.0,80.0,80.0,62.2,30.2,20.6
22,0.296,0.466,0.516,0.685,0.829,0.865,90.0,83.3,82.2,62.2,30.2,22.2
23,0.292,0.460,0.508,0.680,0.823,0.863,90.0,83.3,84.4,64.4,30.2,22.2
24,0.288,0.454,0.499,0.675,0.820,0.861,90.0,83.3,84.4,64.4,30.2,22.2
25,0.285,0.448,0.492,0.668,0.814,0.859,90.0,83.3,84.4,64.4,31.7,22.2
26,0.281,0.443,0.486,0.664,0.806,0.858,90.0,83.3,84.4,66.7,34.9,22.2
27,0.278,0.438,0.479,0.660,0.801,0.856,90.0,83.3,84.4,66.7,36.5,22.2
28,0.276,0.433,0.473,0.653,0.787,0.854,90.0,83.3,84.4,66.7,38.1,22.2
29,0.273,0.429,0.467,0.651,0.784,0.853,90.0,83.3,84.4,68.9,38.1,23.8
3,0.477,0.704,0.758,0.847,0.919,0.928,83.3,56.7,48.9,17.8,7.9,1.6
30,0.270,0.425,0.461,0.642,0.782,0.851,90.0,83.3,86.7,68.9,38.1,23.8
31,0.267,0.419,0.455,0.638,0.782,0.851,90.0,83.3,86.7,68.9,38.1,22.2
32,0.265,0.416,0.451,0.634,0.780,0.849,90.0,83.3,88.9,68.9,39.7,22.2
33,0.262,0.412,0.446,0.631,0.775,0.849,90.0,83.3,88.9,68.9,41.3,23.8
34,0.260,0.408,0.441,0.627,0.773,0.846,90.0,83.3,88.9,68.9,42.9,23.8
35,0.258,0.405,0.436,0.623,0.766,0.845,90.0,83.3,91.1,68.9,42.9,25.4
36,0.256,0.402,0.431,0.620,0.762,0.843,90.0,83.3,93.3,68.9,44.4,25.4
37,0.254,0.398,0.427,0.616,0.762,0.843,90.0,83.3,95.6,68.9,42.9,27.0
38,0.252,0.395,0.423,0.611,0.758,0.842,90.0,83.3,95.6,68.9,44.4,27.0
39,0.250,0.392,0.419,0.609,0.756,0.843,90.0,83.3,95.6,68.9,44.4,25.4
4,0.459,0.685,0.737,0.837,0.915,0.923,83.3,56.7,60.0,17.8,9.5,1.6
40,0.249,0.389,0.409,0.606,0.755,0.841,90.0,83.3,97.8,68.9,44.4,25.4
41,0.247,0.387,0.401,0.602,0.753,0.839,90.0,83.3,100.0,71.1,44.4,27.0
42,0.245,0.384,0.397,0.599,0.751,0.838,93.3,83.3,100.0,71.1,44.4,27.0
5,0.444,0.669,0.720,0.827,0.910,0.918,83.3,63.3,62.2,24.4,9.5,3.2
6,0.430,0.643,0.698,0.818,0.905,0.914,83.3,70.0,68.9,31.1,9.5,3.2
7,0.408,0.628,0.682,0.803,0.901,0.910,86.7,73.3,71.1,40.0,11.1,6.3
8,0.397,0.607,0.668,0.794,0.896,0.906,86.7,70.0,73.3,42.2,12.7,9.5
9,0.386,0.594,0.655,0.786,0.892,0.902,90.0,70.0,75.6,44.4,12.7,9.5
