Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.693,0.855,0.885,0.934,0.957,0.968,60.0,13.3,0.0,0.0,3.2,0.0
10,0.372,0.586,0.640,0.778,0.883,0.894,90.0,76.7,75.6,48.9,17.5,12.7
11,0.362,0.565,0.629,0.770,0.874,0.891,90.0,76.7,75.6,48.9,17.5,12.7
12,0.353,0.554,0.608,0.757,0.866,0.887,90.0,76.7,77.8,51.1,20.6,12.7
13,0.344,0.543,0.596,0.747,0.862,0.885,90.0,76.7,77.8,55.6,22.2,12.7
14,0.336,0.533,0.586,0.740,0.859,0.882,90.0,76.7,80.0,55.6,23.8,12.7
15,0.329,0.524,0.572,0.732,0.856,0.880,90.0,76.7,80.0,57.8,25.4,14.3
16,0.321,0.515,0.560,0.723,0.851,0.876,90.0,76.7,80.0,60.0,27.0,17.5
17,0.314,0.506,0.550,0.716,0.847,0.875,90.0,76.7,80.0,60.0,27.0,19.0
18,0.308,0.499,0.540,0.709,0.844,0.871,90.0,76.7,80.0,60.0,27.0,23.8
19,0.302,0.491,0.530,0.702,0.840,0.868,90.0,76.7,80.0,60.0,28.6,23.8
2,0.509,0.724,0.780,0.859,0.927,0.931,83.3,56.7,40.0,15.6,7.9,1.6
20,0.296,0.484,0.521,0.690,0.822,0.864,90.0,76.7,80.0,62.2,31.7,23.8
21,0.291,0.476,0.512,0.683,0.819,0.862,90.0,76.7,82.2,62.2,31.7,25.4
22,0.286,0.460,0.504,0.677,0.816,0.858,90.0,83.3,82.2,64.4,31.7,25.4
23,0.281,0.454,0.496,0.671,0.813,0.856,90.0,83.3,84.4,66.7,33.3,25.4
24,0.277,0.446,0.488,0.663,0.809,0.854,90.0,83.3,84.4,66.7,33.3,25.4
25,0.273,0.440,0.480,0.658,0.804,0.852,90.0,83.3,84.4,66.7,33.3,25.4
26,0.269,0.435,0.473,0.652,0.798,0.850,90.0,83.3,84.4,68.9,36.5,25.4
27,0.266,0.429,0.465,0.646,0.795,0.849,90.0,83.3,86.7,68.9,36.5,25.4
28,0.262,0.424,0.458,0.641,0.792,0.849,90.0,83.3,88.9,68.9,39.7,28.6
29,0.259,0.419,0.453,0.636,0.790,0.848,90.0,83.3,88.9,68.9,41.3,28.6
3,0.478,0.707,0.758,0.848,0.924,0.926,83.3,56.7,48.9,17.8,7.9,1.6
30,0.255,0.414,0.446,0.631,0.787,0.846,90.0,83.3,88.9,68.9,41.3,28.6
31,0.252,0.408,0.440,0.623,0.783,0.844,90.0,83.3,91.1,71.1,41.3,28.6
32,0.249,0.404,0.434,0.618,0.774,0.843,90.0,83.3,88.9,71.1,42.9,28.6
33,0.246,0.400,0.429,0.613,0.772,0.840,90.0,83.3,91.1,71.1,42.9,28.6
34,0.244,0.396,0.423,0.609,0.769,0.839,90.0,83.3,91.1,71.1,44.4,28.6
35,0.241,0.392,0.417,0.604,0.765,0.838,90.0,83.3,93.3,71.1,44.4,28.6
36,0.238,0.388,0.412,0.597,0.763,0.836,90.0,83.3,93.3,71.1,44.4,30.2
37,0.236,0.384,0.407,0.593,0.760,0.835,90.0,83.3,93.3,71.1,44.4,30.2
38,0.234,0.381,0.402,0.590,0.758,0.833,90.0,83.3,93.3,71.1,44.4,30.2
39,0.231,0.377,0.397,0.585,0.755,0.831,90.0,83.3,93.3,73.3,44.4,30.2
4,0.461,0.689,0.740,0.837,0.917,0.923,83.3,56.7,57.8,20.0,9.5,1.6
40,0.229,0.374,0.392,0.581,0.753,0.830,93.3,83.3,93.3,73.3,44.4,30.2
41,0.227,0.371,0.388,0.577,0.750,0.829,93.3,83.3,93.3,73.3,44.4,30.2
42,0.225,0.368,0.383,0.573,0.748,0.828,93.3,83.3,93.3,75.6,44.4,30.2
5,0.444,0.672,0.717,0.827,0.911,0.916,83.3,63.3,64.4,26.7,9.5,3.2
6,0.430,0.647,0.698,0.818,0.904,0.911,83.3,66.7,68.9,31.1,9.5,6.3
7,0.406,0.633,0.681,0.808,0.899,0.907,86.7,66.7,71.1,37.8,11.1,9.5
8,0.394,0.610,0.666,0.799,0.894,0.902,86.7,73.3,73.3,42.2,14.3,11.1
9,0.382,0.597,0.652,0.787,0.888,0.898,90.0,73.3,75.6,44.4,15.9,12.7
