Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.702,0.827,0.877,0.931,0.954,0.960,60.0,26.7,6.7,0.0,1.6,0.0
10,0.419,0.558,0.637,0.782,0.874,0.882,83.3,76.7,73.3,42.2,22.2,15.9
11,0.411,0.547,0.619,0.775,0.870,0.879,86.7,76.7,75.6,44.4,22.2,17.5
12,0.404,0.539,0.607,0.768,0.866,0.876,86.7,76.7,77.8,48.9,23.8,19.0
13,0.397,0.526,0.596,0.761,0.862,0.873,86.7,76.7,77.8,51.1,23.8,20.6
14,0.391,0.517,0.585,0.754,0.858,0.872,86.7,76.7,82.2,55.6,23.8,20.6
15,0.385,0.507,0.573,0.745,0.853,0.869,86.7,76.7,86.7,55.6,23.8,20.6
16,0.380,0.499,0.563,0.738,0.850,0.867,86.7,76.7,86.7,57.8,25.4,20.6
17,0.375,0.491,0.555,0.732,0.842,0.865,86.7,76.7,86.7,57.8,27.0,20.6
18,0.370,0.484,0.546,0.721,0.837,0.861,86.7,76.7,86.7,57.8,27.0,22.2
19,0.366,0.480,0.538,0.715,0.834,0.856,86.7,76.7,86.7,57.8,27.0,22.2
2,0.542,0.697,0.765,0.859,0.921,0.920,83.3,60.0,48.9,15.6,7.9,3.2
20,0.362,0.474,0.528,0.709,0.831,0.854,86.7,76.7,86.7,57.8,27.0,22.2
21,0.358,0.468,0.520,0.704,0.817,0.853,86.7,76.7,86.7,57.8,28.6,22.2
22,0.354,0.460,0.508,0.699,0.813,0.850,86.7,76.7,86.7,57.8,30.2,22.2
23,0.339,0.456,0.501,0.692,0.810,0.849,86.7,80.0,86.7,57.8,30.2,25.4
24,0.312,0.451,0.494,0.687,0.807,0.847,90.0,80.0,86.7,57.8,31.7,25.4
25,0.309,0.446,0.490,0.682,0.804,0.845,90.0,80.0,88.9,60.0,33.3,25.4
26,0.306,0.441,0.484,0.677,0.802,0.843,90.0,80.0,88.9,62.2,33.3,25.4
27,0.303,0.430,0.478,0.672,0.798,0.843,90.0,83.3,91.1,62.2,33.3,27.0
28,0.300,0.414,0.472,0.668,0.795,0.842,90.0,86.7,91.1,62.2,33.3,27.0
29,0.297,0.410,0.466,0.663,0.790,0.841,90.0,86.7,91.1,62.2,33.3,27.0
3,0.510,0.679,0.744,0.849,0.917,0.915,83.3,63.3,53.3,17.8,7.9,3.2
30,0.295,0.406,0.460,0.659,0.786,0.840,90.0,86.7,93.3,62.2,34.9,27.0
31,0.293,0.403,0.455,0.655,0.784,0.839,90.0,86.7,93.3,62.2,34.9,28.6
32,0.290,0.401,0.449,0.651,0.781,0.836,90.0,86.7,93.3,62.2,34.9,28.6
33,0.288,0.397,0.444,0.647,0.777,0.835,90.0,86.7,93.3,62.2,34.9,28.6
34,0.286,0.394,0.439,0.643,0.774,0.834,90.0,86.7,93.3,64.4,36.5,28.6
35,0.284,0.391,0.436,0.639,0.772,0.833,90.0,86.7,93.3,64.4,36.5,28.6
36,0.282,0.386,0.431,0.635,0.770,0.831,90.0,86.7,93.3,66.7,36.5,28.6
37,0.280,0.383,0.427,0.631,0.767,0.830,90.0,86.7,93.3,68.9,38.1,28.6
38,0.279,0.380,0.422,0.628,0.765,0.829,90.0,86.7,93.3,68.9,39.7,28.6
39,0.277,0.377,0.418,0.624,0.763,0.828,90.0,86.7,93.3,68.9,39.7,28.6
4,0.495,0.660,0.724,0.839,0.912,0.910,83.3,63.3,60.0,26.7,11.1,7.9
40,0.275,0.375,0.414,0.621,0.761,0.827,90.0,86.7,95.6,68.9,39.7,28.6
41,0.274,0.372,0.410,0.618,0.759,0.826,90.0,86.7,95.6,68.9,39.7,28.6
42,0.272,0.370,0.406,0.615,0.756,0.825,90.0,86.7,95.6,68.9,39.7,28.6
5,0.471,0.643,0.708,0.828,0.906,0.904,83.3,66.7,66.7,26.7,11.1,7.9
6,0.459,0.627,0.691,0.819,0.901,0.899,83.3,66.7,66.7,26.7,12.7,11.1
7,0.448,0.603,0.677,0.810,0.894,0.895,83.3,73.3,73.3,31.1,15.9,11.1
8,0.437,0.589,0.660,0.801,0.885,0.890,83.3,73.3,73.3,35.6,17.5,15.9
9,0.428,0.570,0.649,0.793,0.878,0.886,83.3,76.7,73.3,37.8,20.6,15.9
