Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.974,0.992,0.988,0.996,0.994,0.996,0.0,0.0,0.0,0.0,0.0,0.0
10,0.568,0.714,0.786,0.850,0.918,0.942,83.3,63.3,37.8,20.0,3.2,0.0
11,0.539,0.695,0.770,0.840,0.909,0.935,83.3,63.3,46.7,22.2,3.2,0.0
12,0.523,0.678,0.756,0.826,0.902,0.931,83.3,63.3,51.1,31.1,3.2,1.6
13,0.508,0.653,0.738,0.816,0.894,0.927,83.3,70.0,53.3,35.6,4.8,6.3
14,0.495,0.636,0.725,0.807,0.887,0.923,83.3,70.0,55.6,35.6,12.7,6.3
15,0.483,0.622,0.711,0.799,0.881,0.919,83.3,73.3,60.0,37.8,12.7,7.9
16,0.472,0.608,0.700,0.787,0.874,0.916,83.3,73.3,60.0,42.2,12.7,7.9
17,0.462,0.595,0.688,0.779,0.868,0.913,83.3,73.3,64.4,44.4,14.3,7.9
18,0.453,0.584,0.677,0.771,0.863,0.909,83.3,73.3,64.4,46.7,19.0,9.5
19,0.435,0.573,0.666,0.765,0.855,0.906,86.7,73.3,64.4,46.7,19.0,11.1
2,0.899,0.954,0.967,0.982,0.982,0.992,3.3,0.0,0.0,0.0,1.6,0.0
20,0.427,0.563,0.656,0.758,0.849,0.903,86.7,73.3,64.4,51.1,23.8,11.1
21,0.419,0.554,0.647,0.751,0.839,0.899,86.7,73.3,66.7,51.1,27.0,14.3
22,0.413,0.545,0.633,0.744,0.833,0.897,86.7,76.7,68.9,51.1,27.0,12.7
23,0.407,0.536,0.624,0.738,0.828,0.894,86.7,76.7,71.1,51.1,27.0,14.3
24,0.401,0.528,0.616,0.727,0.823,0.892,86.7,80.0,73.3,53.3,27.0,14.3
25,0.395,0.520,0.608,0.722,0.813,0.890,86.7,83.3,73.3,55.6,30.2,14.3
26,0.390,0.513,0.599,0.716,0.805,0.890,86.7,83.3,73.3,55.6,33.3,12.7
27,0.384,0.506,0.591,0.711,0.800,0.888,86.7,86.7,75.6,55.6,36.5,12.7
28,0.379,0.499,0.584,0.706,0.796,0.885,86.7,86.7,75.6,55.6,38.1,12.7
29,0.374,0.491,0.578,0.701,0.786,0.882,86.7,86.7,77.8,60.0,42.9,14.3
3,0.843,0.915,0.937,0.963,0.973,0.985,10.0,0.0,0.0,0.0,1.6,0.0
30,0.369,0.485,0.571,0.697,0.782,0.879,86.7,86.7,77.8,62.2,44.4,15.9
31,0.365,0.480,0.565,0.691,0.778,0.877,86.7,86.7,77.8,62.2,44.4,15.9
32,0.361,0.474,0.557,0.687,0.773,0.875,86.7,86.7,77.8,66.7,49.2,17.5
33,0.357,0.469,0.551,0.683,0.769,0.875,86.7,90.0,77.8,66.7,49.2,15.9
34,0.353,0.463,0.546,0.679,0.765,0.874,86.7,90.0,77.8,66.7,49.2,15.9
35,0.350,0.458,0.540,0.675,0.762,0.872,86.7,90.0,77.8,66.7,49.2,15.9
36,0.346,0.457,0.535,0.671,0.745,0.872,86.7,93.3,80.0,66.7,50.8,15.9
37,0.343,0.452,0.530,0.668,0.743,0.870,86.7,93.3,82.2,66.7,50.8,15.9
38,0.340,0.448,0.527,0.664,0.739,0.870,86.7,93.3,82.2,66.7,50.8,15.9
39,0.337,0.444,0.522,0.661,0.735,0.869,86.7,93.3,82.2,66.7,50.8,15.9
4,0.786,0.878,0.909,0.940,0.965,0.978,40.0,3.3,0.0,0.0,1.6,0.0
40,0.334,0.440,0.517,0.658,0.732,0.867,86.7,93.3,82.2,66.7,50.8,15.9
41,0.331,0.436,0.511,0.655,0.729,0.865,86.7,93.3,84.4,68.9,50.8,17.5
42,0.328,0.432,0.507,0.652,0.726,0.864,86.7,93.3,84.4,68.9,50.8,17.5
43,0.326,0.429,0.501,0.649,0.723,0.862,86.7,93.3,86.7,68.9,50.8,17.5
44,0.325,0.425,0.497,0.646,0.719,0.861,86.7,93.3,88.9,68.9,50.8,17.5
45,0.322,0.422,0.493,0.644,0.712,0.858,86.7,93.3,88.9,68.9,50.8,17.5
46,0.320,0.413,0.489,0.641,0.709,0.857,86.7,96.7,88.9,68.9,50.8,17.5
47,0.318,0.410,0.486,0.637,0.706,0.856,86.7,96.7,88.9,68.9,50.8,17.5
48,0.316,0.407,0.482,0.634,0.700,0.854,86.7,96.7,88.9,68.9,52.4,19.0
49,0.314,0.404,0.479,0.632,0.697,0.853,86.7,96.7,88.9,68.9,52.4,19.0
5,0.724,0.845,0.884,0.922,0.958,0.972,56.7,13.3,2.2,0.0,1.6,0.0
50,0.312,0.402,0.475,0.632,0.698,0.851,86.7,100.0,88.9,68.9,50.8,19.0
6,0.668,0.815,0.862,0.905,0.948,0.965,66.7,33.3,13.3,4.4,3.2,0.0
7,0.638,0.787,0.843,0.890,0.942,0.958,80.0,36.7,20.0,8.9,3.2,0.0
8,0.611,0.761,0.824,0.875,0.934,0.953,80.0,50.0,31.1,8.9,3.2,0.0
9,0.588,0.732,0.804,0.863,0.926,0.948,83.3,60.0,35.6,11.1,3.2,0.0
