Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.963,0.985,0.978,0.993,0.992,0.997,0.0,0.0,0.0,0.0,0.0,0.0
10,0.491,0.660,0.671,0.807,0.892,0.927,83.3,63.3,73.3,40.0,9.5,6.3
11,0.474,0.639,0.653,0.791,0.880,0.922,83.3,63.3,73.3,44.4,14.3,6.3
12,0.459,0.622,0.631,0.777,0.872,0.918,83.3,73.3,75.6,48.9,19.0,7.9
13,0.445,0.607,0.613,0.763,0.861,0.913,83.3,73.3,77.8,51.1,20.6,11.1
14,0.433,0.590,0.597,0.749,0.848,0.909,83.3,73.3,80.0,53.3,28.6,11.1
15,0.422,0.578,0.581,0.738,0.841,0.905,83.3,76.7,80.0,55.6,30.2,12.7
16,0.412,0.566,0.567,0.728,0.833,0.902,83.3,76.7,80.0,57.8,33.3,12.7
17,0.404,0.554,0.555,0.718,0.825,0.898,83.3,76.7,80.0,57.8,33.3,14.3
18,0.396,0.544,0.543,0.709,0.817,0.894,83.3,76.7,82.2,60.0,34.9,15.9
19,0.389,0.535,0.531,0.701,0.810,0.891,83.3,76.7,82.2,62.2,34.9,19.0
2,0.864,0.935,0.937,0.972,0.977,0.991,3.3,0.0,0.0,0.0,1.6,0.0
20,0.383,0.516,0.521,0.692,0.804,0.887,83.3,80.0,82.2,64.4,34.9,19.0
21,0.377,0.508,0.513,0.685,0.798,0.884,83.3,80.0,84.4,64.4,36.5,19.0
22,0.372,0.498,0.497,0.677,0.792,0.880,83.3,80.0,86.7,64.4,38.1,19.0
23,0.367,0.491,0.488,0.669,0.787,0.877,83.3,80.0,86.7,66.7,39.7,19.0
24,0.360,0.484,0.479,0.663,0.782,0.873,83.3,80.0,88.9,66.7,39.7,19.0
25,0.356,0.477,0.471,0.653,0.777,0.872,83.3,80.0,88.9,68.9,39.7,19.0
26,0.353,0.471,0.466,0.647,0.772,0.868,83.3,83.3,91.1,68.9,41.3,20.6
27,0.349,0.466,0.457,0.641,0.764,0.866,86.7,83.3,91.1,68.9,42.9,23.8
28,0.346,0.460,0.450,0.636,0.760,0.864,86.7,83.3,91.1,71.1,46.0,23.8
29,0.343,0.452,0.444,0.630,0.755,0.862,86.7,83.3,91.1,71.1,46.0,25.4
3,0.784,0.883,0.894,0.945,0.965,0.982,33.3,3.3,0.0,0.0,1.6,0.0
30,0.341,0.450,0.438,0.625,0.751,0.859,86.7,83.3,91.1,71.1,49.2,25.4
31,0.338,0.445,0.432,0.620,0.747,0.857,86.7,83.3,91.1,71.1,49.2,25.4
32,0.336,0.441,0.428,0.615,0.743,0.855,86.7,83.3,91.1,71.1,49.2,25.4
33,0.334,0.437,0.423,0.610,0.740,0.853,86.7,83.3,91.1,71.1,49.2,25.4
34,0.332,0.435,0.418,0.605,0.737,0.850,86.7,83.3,91.1,71.1,49.2,25.4
35,0.330,0.431,0.413,0.600,0.733,0.849,86.7,83.3,91.1,71.1,49.2,25.4
36,0.328,0.431,0.408,0.596,0.730,0.847,86.7,80.0,91.1,71.1,49.2,25.4
37,0.327,0.428,0.404,0.592,0.726,0.845,86.7,80.0,91.1,71.1,50.8,27.0
38,0.325,0.424,0.400,0.592,0.723,0.846,86.7,80.0,91.1,71.1,50.8,25.4
39,0.324,0.421,0.396,0.588,0.710,0.846,86.7,80.0,91.1,71.1,52.4,25.4
4,0.713,0.841,0.852,0.918,0.954,0.973,60.0,20.0,11.1,0.0,1.6,0.0
40,0.323,0.418,0.392,0.584,0.707,0.844,86.7,80.0,91.1,71.1,52.4,27.0
41,0.321,0.418,0.391,0.585,0.704,0.842,86.7,80.0,91.1,71.1,54.0,27.0
42,0.320,0.415,0.383,0.581,0.702,0.837,86.7,80.0,93.3,71.1,54.0,28.6
43,0.319,0.412,0.380,0.579,0.699,0.835,86.7,80.0,93.3,71.1,54.0,28.6
44,0.318,0.410,0.378,0.577,0.696,0.833,86.7,80.0,91.1,71.1,54.0,28.6
45,0.317,0.407,0.375,0.574,0.694,0.831,86.7,80.0,91.1,71.1,54.0,30.2
46,0.316,0.405,0.372,0.571,0.685,0.831,86.7,86.7,91.1,71.1,55.6,31.7
47,0.315,0.402,0.369,0.568,0.684,0.830,86.7,86.7,91.1,71.1,55.6,31.7
48,0.315,0.401,0.367,0.565,0.681,0.828,86.7,86.7,91.1,71.1,55.6,31.7
49,0.314,0.399,0.364,0.563,0.678,0.823,86.7,86.7,91.1,71.1,55.6,31.7
5,0.658,0.807,0.815,0.894,0.942,0.964,83.3,36.7,33.3,4.4,1.6,0.0
50,0.313,0.397,0.365,0.560,0.676,0.822,86.7,86.7,91.1,71.1,55.6,33.3
6,0.605,0.772,0.782,0.873,0.932,0.955,83.3,53.3,37.8,8.9,3.2,0.0
7,0.563,0.737,0.750,0.855,0.922,0.948,83.3,56.7,44.4,15.6,6.3,0.0
8,0.535,0.709,0.725,0.836,0.913,0.938,83.3,60.0,57.8,24.4,6.3,0.0
9,0.511,0.685,0.700,0.822,0.903,0.933,83.3,63.3,64.4,31.1,7.9,4.8
