Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.945,0.984,0.981,0.992,0.992,0.995,0.0,0.0,0.0,0.0,0.0,0.0
10,0.454,0.646,0.686,0.790,0.899,0.888,86.7,63.3,68.9,40.0,9.5,14.3
11,0.437,0.628,0.665,0.776,0.888,0.879,86.7,66.7,75.6,48.9,11.1,14.3
12,0.423,0.611,0.646,0.762,0.883,0.872,86.7,66.7,75.6,53.3,14.3,17.5
13,0.409,0.599,0.631,0.749,0.877,0.865,90.0,66.7,75.6,55.6,15.9,20.6
14,0.398,0.587,0.615,0.737,0.869,0.858,90.0,73.3,80.0,55.6,19.0,23.8
15,0.388,0.566,0.602,0.730,0.863,0.851,90.0,76.7,80.0,60.0,23.8,25.4
16,0.379,0.554,0.592,0.720,0.853,0.843,90.0,76.7,80.0,62.2,25.4,27.0
17,0.371,0.544,0.575,0.710,0.848,0.837,90.0,76.7,84.4,62.2,28.6,28.6
18,0.364,0.534,0.565,0.701,0.840,0.831,90.0,76.7,84.4,62.2,30.2,30.2
19,0.358,0.525,0.554,0.692,0.832,0.826,90.0,76.7,84.4,62.2,31.7,30.2
2,0.839,0.936,0.939,0.970,0.976,0.985,13.3,0.0,0.0,0.0,1.6,0.0
20,0.352,0.514,0.544,0.680,0.828,0.821,90.0,76.7,86.7,62.2,31.7,31.7
21,0.347,0.504,0.535,0.672,0.825,0.816,90.0,76.7,88.9,62.2,34.9,33.3
22,0.343,0.497,0.526,0.664,0.818,0.810,90.0,76.7,91.1,62.2,34.9,36.5
23,0.338,0.475,0.515,0.657,0.814,0.807,90.0,83.3,91.1,64.4,34.9,34.9
24,0.334,0.469,0.507,0.651,0.805,0.803,90.0,83.3,91.1,66.7,36.5,34.9
25,0.331,0.465,0.500,0.644,0.799,0.799,90.0,83.3,91.1,68.9,38.1,34.9
26,0.327,0.460,0.493,0.638,0.795,0.795,90.0,86.7,91.1,68.9,38.1,34.9
27,0.324,0.455,0.486,0.632,0.789,0.791,90.0,86.7,91.1,68.9,38.1,34.9
28,0.322,0.450,0.483,0.624,0.787,0.788,90.0,86.7,91.1,71.1,38.1,36.5
29,0.319,0.446,0.477,0.618,0.783,0.784,90.0,86.7,91.1,71.1,39.7,36.5
3,0.744,0.883,0.895,0.943,0.966,0.969,50.0,6.7,0.0,0.0,1.6,0.0
30,0.317,0.441,0.473,0.613,0.777,0.781,90.0,86.7,88.9,71.1,39.7,36.5
31,0.314,0.437,0.469,0.609,0.773,0.777,90.0,86.7,88.9,71.1,39.7,36.5
32,0.312,0.436,0.463,0.605,0.770,0.775,90.0,86.7,88.9,71.1,39.7,38.1
33,0.313,0.431,0.459,0.600,0.766,0.772,90.0,86.7,88.9,71.1,39.7,38.1
34,0.311,0.428,0.454,0.596,0.762,0.769,90.0,86.7,88.9,71.1,39.7,38.1
35,0.309,0.425,0.450,0.592,0.758,0.766,90.0,86.7,91.1,71.1,39.7,38.1
36,0.308,0.422,0.446,0.588,0.755,0.763,90.0,86.7,91.1,71.1,42.9,38.1
37,0.306,0.419,0.442,0.585,0.753,0.758,90.0,86.7,91.1,71.1,44.4,41.3
38,0.304,0.416,0.439,0.582,0.750,0.756,90.0,86.7,91.1,71.1,44.4,41.3
39,0.303,0.413,0.435,0.578,0.747,0.753,90.0,86.7,91.1,71.1,44.4,41.3
4,0.667,0.832,0.862,0.913,0.956,0.953,66.7,23.3,8.9,0.0,1.6,0.0
40,0.301,0.411,0.432,0.575,0.744,0.751,90.0,86.7,91.1,73.3,44.4,41.3
41,0.300,0.408,0.429,0.571,0.741,0.748,90.0,86.7,91.1,73.3,44.4,41.3
42,0.298,0.406,0.426,0.568,0.738,0.746,90.0,86.7,91.1,73.3,44.4,41.3
43,0.299,0.404,0.424,0.565,0.735,0.744,90.0,86.7,91.1,73.3,44.4,41.3
44,0.299,0.402,0.421,0.562,0.732,0.741,90.0,86.7,91.1,73.3,44.4,42.9
45,0.298,0.400,0.418,0.559,0.726,0.739,90.0,86.7,91.1,73.3,47.6,42.9
46,0.297,0.398,0.416,0.556,0.723,0.739,90.0,86.7,91.1,73.3,47.6,42.9
47,0.296,0.396,0.414,0.554,0.717,0.737,90.0,86.7,91.1,73.3,49.2,42.9
48,0.295,0.394,0.411,0.552,0.715,0.734,90.0,86.7,91.1,73.3,49.2,44.4
49,0.295,0.392,0.409,0.549,0.712,0.732,90.0,86.7,91.1,73.3,49.2,44.4
5,0.610,0.789,0.826,0.889,0.945,0.938,80.0,40.0,22.2,6.7,1.6,0.0
50,0.294,0.390,0.407,0.547,0.710,0.732,90.0,86.7,91.1,73.3,49.2,44.4
6,0.567,0.755,0.794,0.867,0.934,0.925,80.0,50.0,35.6,13.3,3.2,0.0
7,0.533,0.728,0.765,0.843,0.926,0.914,80.0,56.7,40.0,20.0,4.8,1.6
8,0.498,0.704,0.740,0.825,0.916,0.906,80.0,56.7,51.1,26.7,6.3,4.8
9,0.474,0.667,0.716,0.805,0.906,0.896,86.7,63.3,57.8,31.1,7.9,11.1
