Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.949,0.985,0.981,0.992,0.991,0.997,0.0,0.0,0.0,0.0,0.0,0.0
10,0.468,0.661,0.682,0.784,0.885,0.894,83.3,63.3,73.3,40.0,11.1,12.7
11,0.445,0.644,0.664,0.769,0.878,0.886,90.0,63.3,75.6,48.9,12.7,14.3
12,0.431,0.627,0.647,0.755,0.871,0.878,90.0,63.3,77.8,55.6,17.5,19.0
13,0.418,0.603,0.629,0.742,0.864,0.869,90.0,66.7,77.8,53.3,22.2,20.6
14,0.406,0.589,0.613,0.730,0.859,0.863,90.0,70.0,77.8,57.8,22.2,20.6
15,0.396,0.577,0.596,0.719,0.853,0.857,90.0,73.3,80.0,60.0,25.4,20.6
16,0.387,0.567,0.583,0.709,0.847,0.851,90.0,73.3,82.2,60.0,27.0,20.6
17,0.379,0.548,0.570,0.699,0.839,0.847,90.0,73.3,82.2,60.0,27.0,23.8
18,0.372,0.539,0.558,0.689,0.829,0.840,90.0,73.3,82.2,60.0,30.2,25.4
19,0.365,0.521,0.548,0.680,0.823,0.835,90.0,76.7,86.7,62.2,30.2,28.6
2,0.849,0.939,0.940,0.970,0.976,0.987,10.0,0.0,0.0,0.0,1.6,0.0
20,0.359,0.512,0.538,0.674,0.818,0.830,90.0,76.7,88.9,64.4,30.2,30.2
21,0.354,0.506,0.529,0.666,0.812,0.825,90.0,80.0,93.3,68.9,30.2,30.2
22,0.349,0.499,0.520,0.658,0.805,0.821,90.0,80.0,93.3,68.9,31.7,31.7
23,0.344,0.492,0.513,0.651,0.801,0.816,90.0,80.0,93.3,68.9,33.3,31.7
24,0.340,0.485,0.504,0.644,0.796,0.813,90.0,80.0,93.3,68.9,33.3,31.7
25,0.336,0.479,0.497,0.638,0.792,0.808,90.0,80.0,93.3,68.9,34.9,31.7
26,0.333,0.474,0.490,0.627,0.784,0.804,90.0,80.0,93.3,68.9,39.7,33.3
27,0.330,0.460,0.482,0.621,0.782,0.800,90.0,83.3,93.3,68.9,38.1,34.9
28,0.327,0.458,0.476,0.615,0.778,0.797,90.0,83.3,93.3,68.9,38.1,34.9
29,0.324,0.451,0.470,0.610,0.774,0.794,90.0,83.3,93.3,71.1,39.7,36.5
3,0.755,0.886,0.895,0.941,0.964,0.973,43.3,3.3,2.2,0.0,1.6,0.0
30,0.321,0.447,0.464,0.604,0.770,0.790,90.0,83.3,93.3,71.1,39.7,36.5
31,0.319,0.443,0.459,0.602,0.768,0.786,90.0,83.3,93.3,71.1,41.3,39.7
32,0.317,0.439,0.453,0.597,0.764,0.783,90.0,83.3,93.3,71.1,41.3,39.7
33,0.315,0.436,0.449,0.593,0.756,0.780,90.0,83.3,93.3,71.1,42.9,41.3
34,0.313,0.432,0.446,0.588,0.753,0.777,90.0,86.7,91.1,71.1,42.9,41.3
35,0.311,0.429,0.441,0.584,0.750,0.774,90.0,86.7,91.1,73.3,42.9,42.9
36,0.309,0.426,0.437,0.580,0.744,0.772,90.0,86.7,91.1,75.6,44.4,42.9
37,0.307,0.423,0.433,0.576,0.741,0.769,90.0,86.7,91.1,75.6,47.6,42.9
38,0.299,0.420,0.421,0.573,0.738,0.766,90.0,86.7,93.3,75.6,49.2,42.9
39,0.297,0.418,0.418,0.570,0.736,0.763,90.0,86.7,93.3,75.6,49.2,42.9
4,0.685,0.840,0.857,0.912,0.953,0.960,60.0,23.3,6.7,0.0,1.6,0.0
40,0.297,0.399,0.415,0.566,0.734,0.761,90.0,90.0,93.3,75.6,49.2,44.4
41,0.295,0.394,0.412,0.563,0.731,0.755,90.0,90.0,93.3,75.6,49.2,46.0
42,0.294,0.392,0.408,0.560,0.729,0.753,90.0,90.0,93.3,77.8,49.2,46.0
43,0.293,0.397,0.405,0.557,0.727,0.750,90.0,86.7,95.6,77.8,50.8,46.0
44,0.292,0.396,0.403,0.554,0.723,0.748,90.0,90.0,95.6,77.8,50.8,46.0
45,0.290,0.393,0.400,0.551,0.721,0.746,90.0,90.0,95.6,77.8,50.8,46.0
46,0.290,0.392,0.398,0.548,0.719,0.743,90.0,90.0,95.6,77.8,52.4,46.0
47,0.288,0.390,0.395,0.545,0.717,0.741,90.0,90.0,95.6,77.8,52.4,46.0
48,0.288,0.388,0.393,0.542,0.715,0.739,90.0,90.0,95.6,77.8,52.4,46.0
49,0.289,0.386,0.391,0.540,0.713,0.737,90.0,90.0,95.6,77.8,52.4,46.0
5,0.630,0.803,0.822,0.886,0.941,0.944,76.7,36.7,22.2,8.9,1.6,0.0
50,0.288,0.384,0.388,0.537,0.711,0.735,93.3,90.0,95.6,77.8,52.4,46.0
6,0.582,0.767,0.790,0.865,0.930,0.932,80.0,46.7,35.6,11.1,3.2,0.0
7,0.548,0.740,0.762,0.843,0.920,0.924,80.0,53.3,37.8,20.0,6.3,0.0
8,0.513,0.717,0.735,0.817,0.909,0.912,83.3,53.3,51.1,28.9,6.3,3.2
9,0.489,0.679,0.706,0.800,0.900,0.904,83.3,60.0,60.0,33.3,6.3,9.5
