Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.964,0.996,0.991,0.997,0.994,0.997,0.0,0.0,0.0,0.0,0.0,0.0
10,0.517,0.779,0.795,0.870,0.925,0.934,86.7,43.3,33.3,11.1,3.2,1.6
11,0.498,0.764,0.780,0.857,0.918,0.930,86.7,46.7,44.4,15.6,4.8,1.6
12,0.482,0.750,0.763,0.847,0.912,0.923,90.0,46.7,46.7,20.0,4.8,1.6
13,0.467,0.739,0.751,0.834,0.905,0.918,90.0,50.0,53.3,20.0,6.3,1.6
14,0.453,0.723,0.736,0.824,0.900,0.914,90.0,50.0,57.8,24.4,7.9,1.6
15,0.441,0.712,0.726,0.815,0.895,0.910,90.0,50.0,60.0,31.1,7.9,4.8
16,0.430,0.702,0.714,0.804,0.889,0.906,90.0,50.0,60.0,35.6,7.9,6.3
17,0.423,0.692,0.705,0.796,0.884,0.902,90.0,50.0,60.0,37.8,11.1,7.9
18,0.414,0.683,0.694,0.788,0.876,0.898,90.0,56.7,60.0,40.0,11.1,11.1
19,0.406,0.679,0.686,0.780,0.871,0.892,90.0,60.0,62.2,40.0,11.1,11.1
2,0.878,0.973,0.966,0.986,0.984,0.991,6.7,0.0,0.0,0.0,0.0,0.0
20,0.398,0.671,0.677,0.774,0.867,0.888,90.0,60.0,62.2,44.4,14.3,11.1
21,0.391,0.663,0.668,0.768,0.863,0.884,90.0,60.0,68.9,48.9,15.9,11.1
22,0.385,0.656,0.659,0.762,0.857,0.883,90.0,63.3,68.9,51.1,17.5,11.1
23,0.379,0.650,0.651,0.755,0.849,0.876,90.0,63.3,68.9,51.1,19.0,12.7
24,0.373,0.643,0.643,0.749,0.844,0.873,90.0,63.3,68.9,53.3,22.2,14.3
25,0.368,0.638,0.637,0.743,0.838,0.870,90.0,63.3,71.1,55.6,27.0,15.9
26,0.363,0.626,0.633,0.738,0.835,0.867,90.0,63.3,73.3,55.6,28.6,17.5
27,0.358,0.620,0.622,0.732,0.834,0.863,90.0,63.3,73.3,55.6,28.6,17.5
28,0.354,0.613,0.615,0.727,0.830,0.860,90.0,63.3,75.6,55.6,28.6,17.5
29,0.350,0.608,0.610,0.722,0.827,0.858,90.0,66.7,75.6,55.6,28.6,15.9
3,0.810,0.941,0.938,0.973,0.976,0.984,23.3,0.0,0.0,0.0,1.6,0.0
30,0.351,0.604,0.604,0.717,0.824,0.855,90.0,66.7,75.6,55.6,28.6,20.6
31,0.347,0.599,0.598,0.713,0.819,0.853,90.0,66.7,75.6,55.6,28.6,22.2
32,0.344,0.588,0.592,0.708,0.815,0.850,90.0,66.7,75.6,57.8,28.6,23.8
33,0.341,0.584,0.587,0.704,0.809,0.847,90.0,66.7,75.6,57.8,28.6,25.4
34,0.338,0.580,0.582,0.700,0.808,0.844,90.0,66.7,75.6,57.8,31.7,25.4
35,0.335,0.576,0.577,0.696,0.803,0.842,90.0,66.7,75.6,57.8,33.3,27.0
36,0.332,0.573,0.572,0.692,0.800,0.839,90.0,66.7,75.6,57.8,33.3,27.0
37,0.329,0.569,0.567,0.689,0.798,0.838,90.0,66.7,75.6,57.8,33.3,27.0
38,0.327,0.566,0.562,0.685,0.795,0.836,90.0,66.7,75.6,62.2,33.3,28.6
39,0.326,0.554,0.558,0.681,0.793,0.834,90.0,70.0,75.6,62.2,33.3,28.6
4,0.740,0.909,0.913,0.956,0.968,0.977,50.0,0.0,0.0,0.0,1.6,0.0
40,0.323,0.551,0.553,0.678,0.791,0.831,90.0,70.0,77.8,62.2,34.9,30.2
41,0.321,0.548,0.550,0.675,0.790,0.828,90.0,70.0,77.8,62.2,36.5,30.2
42,0.319,0.547,0.546,0.672,0.787,0.827,90.0,70.0,77.8,62.2,36.5,28.6
43,0.317,0.524,0.543,0.669,0.785,0.826,90.0,73.3,77.8,62.2,36.5,31.7
44,0.316,0.524,0.536,0.666,0.782,0.824,90.0,73.3,77.8,62.2,36.5,31.7
45,0.314,0.523,0.532,0.663,0.780,0.822,90.0,76.7,77.8,62.2,36.5,31.7
46,0.312,0.521,0.530,0.660,0.777,0.820,90.0,76.7,75.6,64.4,36.5,33.3
47,0.311,0.519,0.526,0.657,0.775,0.818,90.0,76.7,75.6,64.4,36.5,33.3
48,0.309,0.515,0.524,0.655,0.773,0.816,90.0,76.7,75.6,64.4,36.5,33.3
49,0.307,0.513,0.520,0.653,0.771,0.814,90.0,76.7,75.6,64.4,36.5,33.3
5,0.695,0.881,0.890,0.940,0.957,0.970,63.3,10.0,2.2,0.0,3.2,0.0
50,0.306,0.511,0.518,0.650,0.769,0.812,90.0,76.7,75.6,66.7,36.5,34.9
6,0.643,0.857,0.866,0.922,0.950,0.964,70.0,23.3,13.3,2.2,3.2,0.0
7,0.600,0.830,0.848,0.905,0.944,0.956,73.3,30.0,20.0,4.4,3.2,0.0
8,0.571,0.808,0.833,0.891,0.936,0.949,80.0,40.0,22.2,4.4,3.2,0.0
9,0.539,0.794,0.811,0.881,0.931,0.942,83.3,43.3,31.1,6.7,3.2,0.0
