Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.948,0.987,0.982,0.995,0.992,0.996,0.0,0.0,0.0,0.0,0.0,0.0
10,0.472,0.658,0.721,0.821,0.900,0.901,86.7,63.3,57.8,33.3,7.9,7.9
11,0.454,0.641,0.699,0.809,0.894,0.892,86.7,63.3,62.2,37.8,7.9,7.9
12,0.439,0.624,0.683,0.797,0.883,0.885,90.0,66.7,66.7,40.0,9.5,14.3
13,0.425,0.609,0.667,0.787,0.877,0.878,90.0,66.7,73.3,40.0,12.7,14.3
14,0.413,0.595,0.652,0.777,0.871,0.871,90.0,70.0,73.3,40.0,17.5,17.5
15,0.403,0.585,0.638,0.768,0.865,0.864,90.0,70.0,75.6,40.0,25.4,19.0
16,0.393,0.574,0.625,0.759,0.858,0.859,90.0,70.0,75.6,42.2,25.4,22.2
17,0.384,0.562,0.604,0.750,0.850,0.853,90.0,70.0,80.0,44.4,28.6,25.4
18,0.379,0.553,0.593,0.742,0.844,0.847,90.0,73.3,80.0,48.9,28.6,25.4
19,0.372,0.538,0.582,0.732,0.837,0.842,90.0,76.7,80.0,51.1,28.6,25.4
2,0.851,0.938,0.947,0.976,0.978,0.988,10.0,0.0,0.0,0.0,1.6,0.0
20,0.365,0.521,0.572,0.724,0.834,0.836,90.0,80.0,80.0,51.1,30.2,25.4
21,0.359,0.513,0.560,0.717,0.829,0.832,90.0,80.0,80.0,51.1,31.7,28.6
22,0.353,0.507,0.553,0.710,0.824,0.827,90.0,80.0,80.0,53.3,31.7,28.6
23,0.348,0.493,0.544,0.703,0.820,0.822,90.0,86.7,80.0,57.8,33.3,30.2
24,0.343,0.477,0.532,0.697,0.814,0.819,90.0,86.7,84.4,57.8,36.5,33.3
25,0.339,0.471,0.525,0.691,0.811,0.815,90.0,86.7,86.7,57.8,36.5,33.3
26,0.334,0.465,0.518,0.686,0.805,0.812,90.0,86.7,86.7,57.8,36.5,36.5
27,0.331,0.460,0.511,0.681,0.801,0.808,90.0,86.7,86.7,60.0,36.5,36.5
28,0.327,0.455,0.504,0.675,0.792,0.804,90.0,86.7,86.7,62.2,38.1,36.5
29,0.324,0.450,0.498,0.670,0.788,0.800,90.0,86.7,86.7,64.4,39.7,38.1
3,0.760,0.884,0.908,0.955,0.967,0.975,50.0,6.7,0.0,0.0,1.6,0.0
30,0.321,0.446,0.486,0.666,0.782,0.795,90.0,86.7,88.9,64.4,41.3,38.1
31,0.318,0.444,0.480,0.661,0.778,0.792,90.0,86.7,88.9,64.4,41.3,38.1
32,0.315,0.440,0.475,0.657,0.774,0.786,90.0,86.7,88.9,64.4,42.9,39.7
33,0.313,0.436,0.470,0.652,0.768,0.783,90.0,86.7,91.1,66.7,42.9,39.7
34,0.310,0.430,0.465,0.648,0.760,0.780,90.0,86.7,91.1,66.7,42.9,39.7
35,0.308,0.427,0.460,0.644,0.757,0.777,90.0,86.7,91.1,66.7,47.6,39.7
36,0.306,0.424,0.456,0.634,0.754,0.774,90.0,86.7,91.1,68.9,47.6,41.3
37,0.304,0.421,0.453,0.632,0.750,0.769,90.0,86.7,91.1,68.9,47.6,42.9
38,0.302,0.415,0.451,0.628,0.747,0.766,90.0,86.7,91.1,68.9,47.6,42.9
39,0.300,0.412,0.447,0.625,0.745,0.764,90.0,86.7,91.1,68.9,49.2,42.9
4,0.702,0.838,0.875,0.931,0.957,0.959,63.3,23.3,6.7,0.0,1.6,0.0
40,0.298,0.409,0.443,0.621,0.742,0.759,90.0,86.7,91.1,68.9,50.8,44.4
41,0.296,0.407,0.448,0.621,0.739,0.756,90.0,86.7,88.9,68.9,50.8,46.0
42,0.295,0.404,0.445,0.618,0.734,0.754,93.3,86.7,88.9,68.9,52.4,46.0
43,0.293,0.402,0.431,0.615,0.732,0.751,93.3,86.7,93.3,68.9,52.4,44.4
44,0.292,0.400,0.428,0.613,0.730,0.749,93.3,86.7,93.3,68.9,52.4,44.4
45,0.290,0.398,0.425,0.610,0.727,0.746,93.3,86.7,93.3,68.9,52.4,44.4
46,0.289,0.396,0.422,0.607,0.725,0.745,93.3,86.7,93.3,71.1,52.4,46.0
47,0.288,0.394,0.419,0.605,0.723,0.743,93.3,86.7,93.3,71.1,52.4,46.0
48,0.286,0.395,0.416,0.602,0.721,0.741,93.3,86.7,93.3,71.1,52.4,46.0
49,0.290,0.393,0.414,0.600,0.711,0.739,93.3,86.7,93.3,71.1,55.6,46.0
5,0.627,0.799,0.848,0.910,0.946,0.946,70.0,40.0,15.6,2.2,1.6,0.0
50,0.291,0.392,0.411,0.598,0.708,0.736,93.3,86.7,93.3,71.1,55.6,46.0
6,0.588,0.766,0.815,0.889,0.936,0.935,80.0,50.0,28.9,11.1,1.6,0.0
7,0.554,0.738,0.790,0.871,0.928,0.925,80.0,60.0,40.0,13.3,4.8,0.0
8,0.522,0.711,0.768,0.852,0.916,0.916,80.0,60.0,48.9,17.8,7.9,3.2
9,0.492,0.687,0.743,0.834,0.908,0.908,83.3,60.0,53.3,24.4,7.9,6.3
