Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.959,0.979,0.978,0.991,0.992,0.996,0.0,0.0,0.0,0.0,0.0,0.0
10,0.477,0.613,0.661,0.803,0.879,0.926,83.3,73.3,75.6,42.2,14.3,6.3
11,0.460,0.594,0.641,0.790,0.867,0.920,83.3,76.7,77.8,44.4,14.3,6.3
12,0.445,0.576,0.622,0.777,0.859,0.916,83.3,76.7,77.8,53.3,20.6,7.9
13,0.432,0.561,0.603,0.765,0.843,0.911,83.3,76.7,80.0,57.8,25.4,9.5
14,0.410,0.547,0.588,0.755,0.834,0.908,86.7,76.7,80.0,57.8,31.7,11.1
15,0.400,0.534,0.573,0.743,0.827,0.902,86.7,80.0,82.2,57.8,33.3,12.7
16,0.391,0.514,0.558,0.732,0.819,0.899,86.7,83.3,84.4,60.0,34.9,15.9
17,0.383,0.503,0.546,0.723,0.809,0.896,86.7,83.3,86.7,60.0,34.9,15.9
18,0.375,0.493,0.534,0.713,0.804,0.892,86.7,83.3,88.9,60.0,34.9,17.5
19,0.369,0.484,0.524,0.705,0.795,0.889,86.7,83.3,91.1,60.0,36.5,17.5
2,0.856,0.920,0.937,0.966,0.976,0.989,6.7,0.0,0.0,0.0,1.6,0.0
20,0.363,0.478,0.514,0.698,0.788,0.886,86.7,83.3,91.1,64.4,39.7,19.0
21,0.358,0.471,0.504,0.684,0.782,0.883,86.7,86.7,91.1,68.9,42.9,19.0
22,0.353,0.463,0.497,0.678,0.775,0.879,86.7,86.7,91.1,68.9,42.9,20.6
23,0.348,0.456,0.488,0.671,0.771,0.875,90.0,86.7,91.1,68.9,42.9,22.2
24,0.344,0.450,0.481,0.665,0.766,0.873,90.0,86.7,91.1,71.1,44.4,22.2
25,0.340,0.444,0.473,0.659,0.758,0.870,90.0,86.7,91.1,71.1,44.4,25.4
26,0.336,0.438,0.467,0.653,0.750,0.867,90.0,86.7,91.1,71.1,46.0,25.4
27,0.333,0.433,0.461,0.650,0.745,0.865,90.0,86.7,91.1,71.1,47.6,25.4
28,0.330,0.423,0.455,0.645,0.741,0.863,90.0,90.0,91.1,71.1,49.2,25.4
29,0.327,0.419,0.449,0.640,0.734,0.860,90.0,90.0,91.1,71.1,52.4,25.4
3,0.762,0.857,0.892,0.937,0.964,0.979,43.3,6.7,0.0,0.0,1.6,0.0
30,0.324,0.414,0.444,0.635,0.732,0.858,90.0,90.0,91.1,71.1,54.0,25.4
31,0.322,0.412,0.432,0.630,0.728,0.856,90.0,90.0,93.3,71.1,54.0,25.4
32,0.320,0.409,0.427,0.627,0.724,0.854,90.0,90.0,95.6,71.1,54.0,25.4
33,0.318,0.403,0.424,0.623,0.721,0.852,90.0,90.0,95.6,71.1,54.0,25.4
34,0.317,0.401,0.419,0.619,0.717,0.850,90.0,90.0,95.6,71.1,54.0,25.4
35,0.315,0.398,0.415,0.615,0.716,0.844,90.0,90.0,95.6,73.3,54.0,27.0
36,0.313,0.394,0.412,0.611,0.712,0.842,90.0,90.0,95.6,73.3,54.0,27.0
37,0.311,0.391,0.409,0.607,0.709,0.840,90.0,90.0,95.6,73.3,54.0,27.0
38,0.310,0.388,0.407,0.604,0.706,0.838,90.0,90.0,95.6,73.3,54.0,27.0
39,0.309,0.386,0.404,0.600,0.703,0.837,90.0,90.0,95.6,73.3,55.6,27.0
4,0.695,0.805,0.847,0.913,0.952,0.969,73.3,36.7,15.6,0.0,1.6,0.0
40,0.307,0.374,0.401,0.597,0.700,0.835,90.0,93.3,95.6,73.3,55.6,27.0
41,0.306,0.372,0.401,0.594,0.697,0.833,90.0,93.3,95.6,73.3,55.6,28.6
42,0.305,0.369,0.398,0.591,0.694,0.832,90.0,93.3,95.6,73.3,57.1,28.6
43,0.311,0.367,0.395,0.581,0.691,0.830,86.7,93.3,95.6,75.6,57.1,28.6
44,0.310,0.364,0.392,0.579,0.686,0.828,86.7,93.3,97.8,75.6,57.1,30.2
45,0.309,0.362,0.396,0.577,0.683,0.829,86.7,93.3,97.8,75.6,57.1,28.6
46,0.308,0.360,0.393,0.574,0.680,0.828,86.7,93.3,97.8,75.6,57.1,28.6
47,0.307,0.358,0.391,0.571,0.678,0.826,86.7,93.3,97.8,75.6,57.1,28.6
48,0.306,0.356,0.389,0.569,0.676,0.825,86.7,93.3,97.8,75.6,57.1,28.6
49,0.305,0.355,0.386,0.569,0.671,0.817,86.7,93.3,97.8,75.6,57.1,30.2
5,0.638,0.763,0.805,0.889,0.940,0.961,76.7,53.3,33.3,4.4,1.6,0.0
50,0.304,0.354,0.384,0.566,0.668,0.815,86.7,93.3,97.8,75.6,57.1,31.7
6,0.578,0.729,0.773,0.868,0.926,0.953,83.3,56.7,35.6,8.9,3.2,0.0
7,0.545,0.692,0.734,0.847,0.914,0.943,83.3,63.3,51.1,20.0,3.2,1.6
8,0.518,0.664,0.707,0.831,0.903,0.936,83.3,70.0,57.8,24.4,6.3,6.3
9,0.496,0.635,0.684,0.817,0.890,0.930,83.3,70.0,66.7,28.9,7.9,6.3
