Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.959,0.981,0.978,0.992,0.991,0.996,0.0,0.0,0.0,0.0,0.0,0.0
10,0.474,0.632,0.656,0.785,0.877,0.924,83.3,70.0,71.1,48.9,15.9,6.3
11,0.457,0.612,0.635,0.768,0.867,0.918,83.3,73.3,75.6,51.1,17.5,7.9
12,0.442,0.596,0.615,0.755,0.851,0.912,83.3,73.3,77.8,53.3,20.6,11.1
13,0.429,0.581,0.598,0.742,0.844,0.906,83.3,73.3,77.8,53.3,20.6,11.1
14,0.418,0.567,0.583,0.730,0.836,0.900,83.3,73.3,80.0,57.8,25.4,14.3
15,0.407,0.546,0.569,0.719,0.825,0.895,83.3,76.7,84.4,60.0,28.6,14.3
16,0.398,0.528,0.555,0.709,0.818,0.891,83.3,80.0,84.4,62.2,31.7,14.3
17,0.390,0.517,0.542,0.699,0.808,0.887,83.3,80.0,84.4,64.4,34.9,15.9
18,0.383,0.507,0.530,0.690,0.801,0.882,83.3,80.0,84.4,64.4,41.3,15.9
19,0.376,0.494,0.519,0.681,0.796,0.876,86.7,80.0,84.4,66.7,42.9,17.5
2,0.859,0.926,0.936,0.967,0.975,0.989,10.0,0.0,0.0,0.0,1.6,0.0
20,0.370,0.486,0.508,0.672,0.790,0.872,86.7,80.0,88.9,66.7,44.4,19.0
21,0.365,0.478,0.498,0.664,0.784,0.869,86.7,80.0,91.1,66.7,44.4,19.0
22,0.360,0.471,0.489,0.657,0.777,0.864,86.7,80.0,91.1,66.7,44.4,19.0
23,0.342,0.464,0.481,0.649,0.772,0.860,90.0,80.0,91.1,68.9,44.4,20.6
24,0.338,0.458,0.473,0.642,0.766,0.857,90.0,80.0,93.3,71.1,44.4,22.2
25,0.334,0.452,0.466,0.636,0.761,0.855,90.0,80.0,93.3,71.1,44.4,23.8
26,0.330,0.446,0.453,0.630,0.756,0.852,90.0,80.0,95.6,71.1,44.4,23.8
27,0.326,0.441,0.446,0.623,0.750,0.849,90.0,86.7,95.6,71.1,44.4,25.4
28,0.323,0.423,0.441,0.619,0.746,0.847,90.0,90.0,95.6,71.1,44.4,25.4
29,0.320,0.420,0.435,0.613,0.741,0.843,90.0,90.0,95.6,73.3,44.4,28.6
3,0.766,0.866,0.890,0.937,0.962,0.978,36.7,6.7,0.0,0.0,1.6,0.0
30,0.317,0.410,0.430,0.608,0.736,0.841,90.0,90.0,95.6,75.6,46.0,28.6
31,0.314,0.406,0.423,0.604,0.732,0.838,90.0,90.0,95.6,75.6,46.0,28.6
32,0.312,0.402,0.418,0.599,0.728,0.836,90.0,90.0,95.6,75.6,46.0,28.6
33,0.309,0.398,0.413,0.595,0.724,0.833,90.0,90.0,95.6,77.8,47.6,28.6
34,0.307,0.394,0.409,0.590,0.721,0.831,90.0,90.0,95.6,77.8,49.2,28.6
35,0.305,0.389,0.405,0.586,0.720,0.828,90.0,90.0,95.6,77.8,49.2,28.6
36,0.303,0.386,0.402,0.582,0.717,0.826,90.0,90.0,95.6,77.8,49.2,28.6
37,0.301,0.383,0.398,0.578,0.714,0.824,90.0,90.0,95.6,77.8,50.8,28.6
38,0.299,0.380,0.394,0.574,0.711,0.820,90.0,90.0,95.6,77.8,54.0,28.6
39,0.297,0.377,0.391,0.571,0.706,0.818,90.0,90.0,95.6,77.8,55.6,28.6
4,0.699,0.816,0.848,0.907,0.948,0.969,66.7,26.7,11.1,0.0,1.6,0.0
40,0.295,0.374,0.387,0.567,0.703,0.815,90.0,90.0,97.8,77.8,55.6,28.6
41,0.294,0.372,0.384,0.563,0.701,0.807,90.0,90.0,97.8,77.8,55.6,30.2
42,0.292,0.369,0.381,0.560,0.698,0.805,90.0,90.0,97.8,77.8,55.6,30.2
43,0.291,0.367,0.381,0.557,0.697,0.803,90.0,90.0,97.8,77.8,55.6,30.2
44,0.289,0.364,0.378,0.554,0.695,0.801,90.0,90.0,97.8,77.8,55.6,30.2
45,0.288,0.362,0.375,0.551,0.690,0.799,90.0,90.0,100.0,77.8,55.6,30.2
46,0.287,0.360,0.373,0.548,0.688,0.797,90.0,90.0,100.0,77.8,54.0,30.2
47,0.286,0.361,0.370,0.545,0.685,0.796,90.0,90.0,100.0,77.8,54.0,33.3
48,0.285,0.359,0.369,0.542,0.683,0.794,90.0,90.0,100.0,77.8,54.0,34.9
49,0.284,0.354,0.366,0.539,0.681,0.792,90.0,90.0,100.0,80.0,55.6,34.9
5,0.649,0.774,0.807,0.883,0.936,0.960,80.0,46.7,28.9,4.4,1.6,0.0
50,0.283,0.347,0.364,0.537,0.676,0.790,90.0,90.0,100.0,80.0,57.1,36.5
6,0.586,0.740,0.772,0.862,0.925,0.954,80.0,56.7,44.4,13.3,3.2,1.6
7,0.553,0.713,0.736,0.842,0.914,0.946,83.3,56.7,55.6,15.6,4.8,1.6
8,0.526,0.688,0.708,0.820,0.903,0.939,83.3,60.0,60.0,26.7,6.3,1.6
9,0.493,0.654,0.682,0.800,0.889,0.931,83.3,70.0,71.1,46.7,14.3,3.2
