Iteration,VPR 1.1,VPR 1.0,VPR 0.95,VPR 0.9,VPR 0.85,VPR 0.8,Resol 1.1,Resol 1.0,Resol 0.95,Resol 0.9,Resol 0.85,Resol 0.8
1,0.974,0.995,0.989,0.996,0.994,0.997,0.0,0.0,0.0,0.0,0.0,0.0
10,0.545,0.732,0.776,0.852,0.918,0.951,83.3,56.7,42.2,15.6,4.8,0.0
11,0.527,0.716,0.760,0.842,0.910,0.945,83.3,56.7,46.7,20.0,6.3,1.6
12,0.510,0.700,0.747,0.829,0.904,0.939,83.3,56.7,48.9,22.2,6.3,1.6
13,0.495,0.685,0.733,0.820,0.898,0.936,83.3,60.0,53.3,22.2,7.9,3.2
14,0.482,0.670,0.718,0.811,0.893,0.934,83.3,60.0,55.6,31.1,7.9,3.2
15,0.470,0.652,0.703,0.802,0.885,0.931,83.3,66.7,60.0,33.3,7.9,3.2
16,0.459,0.640,0.690,0.794,0.880,0.927,83.3,66.7,60.0,42.2,9.5,4.8
17,0.449,0.629,0.679,0.787,0.874,0.924,83.3,66.7,64.4,48.9,11.1,6.3
18,0.440,0.612,0.668,0.780,0.867,0.920,83.3,66.7,64.4,51.1,11.1,6.3
19,0.431,0.602,0.662,0.773,0.861,0.918,83.3,73.3,64.4,51.1,15.9,9.5
2,0.901,0.954,0.967,0.979,0.983,0.993,3.3,0.0,0.0,0.0,1.6,0.0
20,0.423,0.588,0.652,0.764,0.856,0.916,83.3,76.7,66.7,51.1,19.0,9.5
21,0.416,0.579,0.643,0.757,0.851,0.913,83.3,76.7,66.7,60.0,19.0,9.5
22,0.409,0.574,0.634,0.751,0.846,0.911,83.3,76.7,68.9,60.0,22.2,11.1
23,0.403,0.566,0.625,0.745,0.838,0.910,83.3,76.7,68.9,62.2,27.0,11.1
24,0.397,0.559,0.617,0.739,0.834,0.908,83.3,76.7,68.9,62.2,30.2,12.7
25,0.392,0.552,0.610,0.735,0.830,0.906,83.3,76.7,71.1,62.2,30.2,14.3
26,0.387,0.545,0.603,0.730,0.826,0.906,83.3,76.7,71.1,62.2,33.3,14.3
27,0.382,0.541,0.597,0.725,0.820,0.904,83.3,76.7,73.3,62.2,34.9,14.3
28,0.378,0.535,0.591,0.720,0.814,0.903,83.3,76.7,75.6,62.2,34.9,14.3
29,0.374,0.530,0.584,0.715,0.810,0.901,86.7,76.7,75.6,62.2,36.5,14.3
3,0.838,0.917,0.940,0.962,0.972,0.988,23.3,0.0,0.0,0.0,1.6,0.0
30,0.370,0.526,0.580,0.711,0.807,0.900,86.7,80.0,75.6,62.2,38.1,15.9
31,0.366,0.521,0.574,0.706,0.803,0.898,86.7,80.0,75.6,64.4,38.1,15.9
32,0.365,0.517,0.568,0.702,0.798,0.897,86.7,80.0,75.6,64.4,38.1,15.9
33,0.362,0.512,0.563,0.698,0.794,0.896,86.7,80.0,77.8,64.4,39.7,15.9
34,0.359,0.510,0.557,0.694,0.791,0.895,86.7,80.0,80.0,64.4,41.3,15.9
35,0.356,0.509,0.552,0.690,0.787,0.893,86.7,80.0,82.2,64.4,41.3,15.9
36,0.353,0.505,0.546,0.686,0.784,0.893,86.7,80.0,84.4,64.4,41.3,17.5
37,0.350,0.501,0.539,0.683,0.780,0.892,86.7,80.0,88.9,64.4,41.3,17.5
38,0.348,0.498,0.535,0.679,0.777,0.889,86.7,80.0,88.9,64.4,42.9,17.5
39,0.345,0.494,0.522,0.676,0.774,0.888,86.7,80.0,91.1,64.4,44.4,17.5
4,0.766,0.882,0.914,0.944,0.962,0.981,36.7,3.3,2.2,0.0,1.6,0.0
40,0.343,0.491,0.517,0.673,0.771,0.887,86.7,80.0,91.1,64.4,44.4,17.5
41,0.341,0.488,0.513,0.670,0.768,0.886,86.7,80.0,91.1,64.4,44.4,17.5
42,0.339,0.485,0.511,0.667,0.765,0.885,86.7,80.0,88.9,64.4,44.4,17.5
43,0.337,0.482,0.508,0.666,0.762,0.883,86.7,80.0,88.9,62.2,44.4,17.5
44,0.335,0.479,0.505,0.662,0.759,0.886,86.7,80.0,88.9,64.4,44.4,17.5
45,0.333,0.476,0.501,0.659,0.757,0.885,86.7,80.0,88.9,64.4,44.4,17.5
46,0.331,0.474,0.497,0.657,0.754,0.884,86.7,80.0,88.9,64.4,44.4,17.5
47,0.330,0.471,0.494,0.654,0.751,0.883,86.7,80.0,88.9,66.7,44.4,17.5
48,0.328,0.469,0.496,0.651,0.740,0.882,86.7,80.0,88.9,66.7,47.6,17.5
49,0.326,0.467,0.492,0.649,0.737,0.881,86.7,80.0,88.9,66.7,47.6,17.5
5,0.715,0.849,0.889,0.926,0.954,0.975,56.7,16.7,2.2,0.0,3.2,0.0
50,0.325,0.464,0.490,0.646,0.732,0.880,86.7,80.0,88.9,66.7,49.2,17.5
6,0.672,0.822,0.859,0.908,0.946,0.968,73.3,30.0,6.7,4.4,3.2,0.0
7,0.630,0.797,0.834,0.889,0.940,0.963,76.7,50.0,24.4,4.4,3.2,0.0
8,0.602,0.773,0.814,0.876,0.932,0.959,76.7,50.0,33.3,4.4,4.8,0.0
9,0.579,0.751,0.794,0.863,0.926,0.955,83.3,53.3,37.8,11.1,4.8,0.0
